,Unnamed: 0,id,public_metrics,text,likecount,author_id,created_at,edit_history_tweet_ids
38,38,1582082783870357506,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Hi thanks for the reply. The manager flat out refused to fill the cup up so I don't think giving her feedback will change anything. Thank you for the suggestion.,0,,,
39,39,1582079477072293888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",Drove by and had to stop again. I don’t make the rules. @sonicdrivein https://t.co/j1p6wzTTnt,7,,,
40,40,1582062916735361024,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@CammieVaupel @sonicdrivein A N D….it’s usually a soccer Mom’s van w/ 4+ ppl in it ordering!,0,,,
41,41,1582058284219269121,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Lunch (at @SONICDriveIn in Amarillo, TX) https://t.co/2RwZC55SJF https://t.co/dtd0NvRten",0,,,
42,42,1582057185667735570,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Can we please make it illegal to order food in the @sonicdrivein drive-thru lane?! #comeonpeople #drinksonly https://t.co/eNZ1q1xl9G,1,,,
43,43,1582057137336770567,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@sonicdrivein CEO know when I The Queen @lasheamayor pregnant with both baby boys I ate @sonicdrivein every Morning the order was a Sonic burger with all the works,1,,,
44,44,1582054645496958977,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",I love @sonicdrivein but their app is awful. 0/10,0,,,
45,45,1582053106916896771,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Team tots!,0,,,
46,46,1582052955242475526,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein is what I The Queen @lasheamayor craving Good Morning Mob 👁️,0,,,
47,47,1582039242640789505,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein  chophouse burger commercial sounds like the @Nationwide is in your side jingle.,0,,,
48,48,1582036278149017606,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",I miss @sonicdrivein more than anything in the world rn,2,,,
49,49,1582031389775757313,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#Wagoner #jobs #hiring #opportunity @sonicdrivein Drive-In (Wagoner, OK) – Assistant General Manager - https://t.co/jArYcYo7Xl",0,,,
50,50,1582031006655483907,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein gets it! https://t.co/X0K9dVVwQZ,0,,,
51,51,1582026673889087490,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","It can be said that @sonicdrivein is known for its comedic in-car commercials.

They recently launched a new advertising campaign, “Mmm. Sonic,” that offers an imaginative, dreamlike take on the quick-service restaurant’s food.

Learn more: ⤵️
https://t.co/rDSusOSc9G",0,,,
52,52,1582024996095897600,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#Glenpool #jobs #hiring #opportunity @sonicdrivein  Drive-In (Glenpool, OK) – Assistant General Manager - https://t.co/7E9jt86EUa",0,,,
53,53,1582023846584274945,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#Chattanooga #jobs #hiring #opportunity @sonicdrivein Drive-In (Chattanooga, TN) – Assistant General Manager - https://t.co/oCT17ova1Y",0,,,
54,54,1582021614052331521,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Tots,0,,,
55,55,1582005634710441984,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Which one of you will be the first to serve a lab grown meat hamburger? 
@Wendys @McDonalds @kfc @FiveGuys @BurgerKing @redrobinburgers @sonicdrivein @Hardees",0,,,
56,56,1582002491344158720,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Went to @sonicdrivein and got a BURNT BURRITO??? Why sonic, why??",0,,,
57,57,1581999654925127682,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@clearinglists We are working on Crocheting and want to try crafting with resin! Check out our projects that are trying to make this area of our room super exciting! 
#FTCaresFoundation  
@sonicdrivein
@LouDPhillips
@RFS_Vista
@craignewmark
 #clearthelist 
https://t.co/k0znoZ7KtL",1,,,
58,58,1581987414930644992,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@sonicdrivein  Your new salsa “water” is really gross, that was the only reason i eat at your restaurant. Goodbye.",0,,,
59,59,1581970223619485696,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 15, 'quote_count': 0}",Crazy excited to be able to thank Sonic and Loft for funding TWO (2!) DWE art projects from @DonorsChoose  We will be creating magical art because of you! @sonicdrivein @LOFT @HumbleISD_DWE @HumbleISD_Arts @ElizabethFagen  #loveLOFT https://t.co/ZjaVDUGTVC,15,,,
