ID,screen_name,name,location,follower_count,friends_count,like_count,description
600400271,marest_de,Caterina Sforza,,38,22,,"I prefer the wicked to the foolish, the wicked sometimes rest. ⚜️🤎⚡️💥🔮👑🦂💫🔥🗽🚁🍾🌊💨🪐🌚🌝🍄👸🏻👁✌🏻💎"
2909406091,MySs65,Ss in the 412,"Pittsburgh, PA",123,409,,Saving the planet one beer at a time
1254748867557502977,Bdss32135758,Bdss,,20,139,,The world won't see the heroes until the battle is over.
822658719343329282,hippie6547,J,God’s Country,581,2484,,"Approved speech is not free speech | Bison Farrier | I do medical stuff | “Four fried chickens and a Coke, and some dry white toast please.”"
104767490,oregonairsoft,Oregon-airsoft.com,Oregon,122,304,,"Airsoft, Tactical, Airsoft arena, Indoor airsoft"
3417593524,lily06686076,Lily Wu,United States,112,1899,,愿旅途道路漫长，充满奇迹，充满发现……
339046902,Kadee120906,🇺🇲 Kadee120906 🇺🇲,"Omaha, NE",233,601,,"Mom, Wife of USAF Veteran 🇺🇲, Patriot, #BacktheBlue, Trump is still my president! 🇺🇸👍🇺🇸"
1448868400210472972,CG1733,California refugee,"Charlotte, NC",9,71,,"yes, I'm a real person but don't want my name on here. FJB. Taylor Lorenz blocked me."
1388230089918189571,Cat666Tom,IceTomCat666,,1,6,,I don't wanna
1353560600673017856,AnnaStr31227140,Anna,,171,350,,🍊🍊🍊🍊
1450256689752576002,Angry_Apple1,☢️AngryApple ☢️🌽🤿🇺🇸,"New York, USA",234,617,,#ULTRAMAGA #MAGAGANG #MAGA #1A #2A — Backup account for @undrwaterotter
149923308,Mattystew,Matthew Stewart,"Raleigh, NC",29,629,,Best Sports Moment was watching Dolphin games in the OB. I have a room dedicated to Marino. My gf says I live in the past.
525815214,marktheright,mark,,1251,1212,,I give 10% of my followers to the BIG GUY
575895428,emxprice,Emily Gallo,"Lancaster, PA",277,366,,Jesus is King | Wife | Mother | Freedom 🇺🇸
467728033,LambertLourdes,Dr. Screaming in MyPillowUSA for the next 4 years!,"California, USA",9,136,,"American, wife, mother, Pedro Pan kid."
867960056,JanetShepler,Shep4,,2,452,,None
284154630,lpruiett,Lindsey Pruiett,"San Diego, CA/ Big Sky, MT",14,669,,"All around advocate of entrepreneurial, hard working women. A working mama of 2 and wife to a fireman. I am a self employed Gen-Xer in Marketing & Healthcare."
453363117,undrwaterotter,🍊☢️Darkhorse Psyop ☢️🍊,"New York, USA",1443,3253,,Populist Republican 🇺🇸🇺🇸 👊 | “Reality” has turned out to be a psyop | @Angry_Apple1 | #1A #2A |#ULTRAMAGA #MAGAGANG #NUCLEARMAGA #MAGAFORCES
1267810785570574336,ThePenntuckian,The Penntuckian 🇺🇸,Philadelphia ,7,795,,"Tradition, history, and moral suasion."
1151879727877165058,BriansBrainShow,Brian's Brain,,11,518,,Random curiosities from my brain. Things might get weird.
436952765,Nice_north,nice north,OHIO,42,897,,discovery. lots of ideas dream and breathe.
64408317,redskinsrock91,Chaz Packan,,1205,3955,,"LHS 10' Proud Christian And Conservative Die-Hard Redskins, Orioles, Wizards, Caps, DC United, And UMD Terps Fan! All-Around Sports Fanatic #MAGA #TrumpTrain"
1283509752987897862,noahsurvived,noah survived,various,1611,3544,,John 14:21
2417586104,SebGorka,Sebastian Gorka DrG,The Swamp,1218437,5514,,A nice old lady once called me Mr. MAGA.
104704684,Mividadulce_,M,,90,285,,X♥O
2324706182,dollarbill285,Bill B .. DollarBill,Iowa,95,343,,"Retired military , Nebraska Football Fan"
1229971112,RicTorresII,Ric Torres,"Los Feliz, CA",10551,10964,,"Co-Founder, Managing Dir. @PochoVillaProds w👨🏽‍🎨 @LaloAlcaraz #Chicano #CalBears #LoyolaLawLA #WriterProducer #Doyers #Boosted #Stetson #GoodTrouble 🎣🤠🎬"
39597730,libertymdus,LibertyMD #NOPROAct,United States,740,3136,,"“Defiance, not obedience, is the American’s answer to overbearing authority.” — Ayn Rand"
1412228178945331201,Hello33476586,El Macho Schlongo,Your Mom's house,24,1128,,Gay black Nazi for Christ. An enigma wrapped in a mystery.
817914575186075648,Jimmy4Ferro,Jimmy Ferro,CA,554,4486,,Cowboys- Padres- #4 Harvick
1158546313140682758,BCR____,Yeriel3 Cruz Ramos,,119,929,,Emperador de Puerto Rico 🇵🇷☀️🇪🇸 Cristiandad -The European Union must be Reformed 🇪🇺
1369505465428828162,libsrcommunists,libsrcommunists,,3424,4838,,Not ashamed of the gospel of Jesus Christ 61 yo Alabama born & proud of it married vet motorcycles guns family god and country IFBAP 🇺🇸🇮🇱LGB/FJB ultra MAGA
1297218842,JamestheFalcon,James Falconer,The center of the earth,4,92,,I'm a loser at the top of my game.
466094737,billyboblee310,Billy Lee,,2496,4894,,#JackGuerrero #StateTreasurer #Freedom #Liberty #Peace
40669491,ronmahabir,Ron Mahabir,Coronado,393,414,,Founder. Two exits $50m+ @Greenlots (Sold to @Shell) Walz Group (Sold to @Computershare). @EHFNewZealand
1915394366,lawhitecorn,LisaMaria,Napa Valley,65,307,,👑*DAUGHTER OF THE KING*DREAM BIG*📈 🐕Dog Mom🐩 🙏Servant Leader📋 👰Married [Est 2009]💏 📚Educated & Employed👜
1357398193168814082,thatgirljenn111,💥 That Girl Jenn 💥,United States,113,288,,made you look
1382833669522432000,Linderberg5,Linderberg 🇱🇮,,18,195,,lurker by trade
50171349,JonnyRoot_,Jon Root,"Phoenix, AZ",8101,1699,,@tpusa/@tpusafaith Contributor 🇺🇸⛪️ | Christ Follower🙏🏼 | Host #BreakawayPod | BIG SPORTS GUY | Past: @rcquakes @sanjosesharks @gleaguewarriors
469903613,ZJustzed,Just Zed,World's Longest Lockdown State,1795,996,,"Economics, Actuarial Studies, Corporate Trainer. 🇦🇺 Reversed T2D, fatty liver and Stage 4 Endometriosis. Good health is the real freedom 💪"
37285615,pgessing,Paul Gessing,"Albuquerque, NM",3939,2472,,"President of New Mexico's free market think tank, concerned citizen, husband, and father of three girls."
2832667316,mountainshread1,Ryan,"San Diego, CA",23,787,,"Husband, Father, HODL’r"
831476954,bWestog,bwest,United States,104,719,,NJ
3035081791,RioGrandeFndn,Rio Grande Foundation,"Albuquerque, New Mexico",1601,903,,"An independent, non-partisan, tax-exempt research and educational organization based in Albuquerque. #rgfnm #nmpol #nmecon #liberty #opportunity #prosperity"
1362785568090968065,bearzantium,Bearzantium,,151,895,,Crypto | Human Geography | Disc | Byzantine Empire | Chicago Bears | Freedom
25975590,PostremoSapien,PᴓstremᴓSapien,Earth,105,702,,"A Quant, Crypto-Trader, Guitarist, Family Man, & Stay-At-Home Daddy. Electronics, IT Security, Coding & Cryptography interests."
939192295521443840,romero00008,Romero00008,"Austin, TX",142,444,,"Musician,MMA junkie,Addicted to internet money #bitcoin #cryptocurrency"
1235571957187387392,DGalettaFL,Devin Galetta,Tallahassee,378,1839,,Communications Director @JimmyPatronis & @FLDFS | Jackson 👶🏻 & Campbell’s 🐕 Dad | @FloridaState Grad
23040216,hspayneiii,censored,"Utah, USA",16,22,,censor twitter
119749248,daltonmelnyk,Dalton Melnyk,ATL,404,641,,"I don't tweet often. But when I do, I think I'm hilarious. Sinner saved, father and golfer. Liberty Lover. Go Gators!"
1083176034227314690,Live4MoreNYC,Live4More,,66,330,,Sneakerhead & Stocks. Love the future of EVs and invest accordingly. Also spent more time learning trading vertical spreads than I should admit. Math is cool.
1113459385366327297,TheBlackLab2A,"The Black Lab, Sic Semper Tyrannis",,323,1266,,🇺🇸 American. Best friend. Gun dog. Loyal.
438639903,TroutTheGOAT,STOP voting Democrat,USA,164,496,,Kobe the GOAT ★
1334235019494248448,display_name20,Creeping Death,,164,1102,,Make Disney great again
25219411,NotThatJasonLee,JLee™️,"Ocean City, MD",367,875,,Host of @OutdoorsDMV | Co-President of Shorebreak Entertainment | Singer/Songwriter | Master of Own Destiny
553050301,Fatlikereflexes,Fatlikereflexes,,66,1404,,Never tell people your problems. 90% don't care and the other 10% are glad you got them. - @CoachLouHoltz88
208398817,LakotaLeo,Leo,"San Jose, CA",873,295,,"IT guy, Bugatti is my dream car, Degree in Network Administration. Clash of Clans master. Oglala"
1260330666127810561,AYYEREEZY,reezy,,303,1051,,twitch streamer. sneaker enthusiast. bad joke maker. @GoveeOfficial Affiliate - https://t.co/axwIdO3kYS YEE! Hit the Link for your smart lighting needs!
1430597291690414080,Stanley18214162,Stanley Smith,,86,1455,,“But better to get hurt by the truth than comforted with a lie.“ — Khaled Hosseini
314131913,JennaMRobinson,Jenna Robinson,FL,175,1320,,"I'm pretty, but I'm not beautiful. I sin, but I'm not the devil. I'm good, but I'm not an angel.'"
337933,prettynoiselab,Reality,McMurdo Station,292,556,,Solutions
1386124780827516933,gorilla_punk,GorillaPunk.🦍,Not of This World ,220,848,,Think about it 🤔
819392669231288320,picColombia,Christian 🇨🇴,"Miami, FL",105,331,,aviator
1349455426425917444,Hoosiervoice1,Hoosiervoice,,11,66,,“Never stop being a nice person.”
1425657767658881029,ScottFr332,Scott Allan F,,685,1740,,Don’t be so afraid to die that you forget to live. #TrudeauMustGo #HonkHonk 🚚🚛🚜
1250454117815848963,N8TheCre8tive,Bahama Don 🇧🇸,,2865,690,,If liberty means anything at all it means the right to tell people what they do not want to hear.
1158818197,__JeffH,Jeff,"🏝Navarre Beach, FL🍸",599,1350,,Gators-Steelers-Celtics
1355552464326553601,GoombaDidIt,Goombas Most Wanted,,20,124,,HOLD THE LINE 🇺🇸
1436395317503664131,AChap68,Agnes Chaplin,,164,854,,AC
166212601,planotexasgal,Baiba D.,"Florida, USA",147,619,,Texas girl at heart. living in Florida. Retired? Latvian by heritage. lol!!!!
1733915096,chevchelios069,chev,the next block,142,634,,https://t.co/RnUyLY8EQM
259535508,Heather_71USA,NuggetForTruth,"Texas, USA",1911,4441,,Texas/Mississippi Gal✝🇺🇸☮ #AmericaFirst; #PeaceNotWar #MSU Grad- #HailState🐶: followed by @scottbaio; #1A;#2A
1405153119424716803,mikebut06120858,Mikey B,TX,983,1145,,My pronouns are: eff/off
889336242122481665,johnnyg7333,Johnny G,"Pittsburgh, PA",2251,4962,,Bleed Pittsburgh Black N Gold. CDL Driver 🇺🇸💪🏻🇺🇸 #TrumpWon #Bidencheated #FJB #Trumplican #Americafirst #BacktheBlue #Patriot🔴💯🙌🏼🇺🇸
1375727653542621186,LIGE_NJUKI,Lige N,,10,584,,Censorship is censor destroying evidence; ALL speech is a record. Only testing and NOT vaccination should be mandated. Politicians should not appoint Judges.
1312172048593031173,KoshkaRoo,Sophie Roo,"Carlsbad, CA",1273,3898,,"scientist, nerd, always curious. ❤️ sushi, Russian food and Star Trek. Diversity and Imagination is what makes us Human! be nice please"
2407502149,BeachedEscalera,Pablo 🇺🇲,San Diego,35,608,,"❌ For more enjoyment and greater efficiency, consumption has been standardized ❌"
1264524987777593344,JacobGRacing18,Jacob,Party Mode,1750,3797,,A bio? What’s a bio?
136413663,charlienicole,Charlie Nicole 🇺🇸,"Nevada, USA",4282,4971,,🇺🇸 Love America 💻 Small business owner 🐘 Former political candidate🗽Lobbyist for non-profits 👩‍👧‍👧 Single mama of the best kids on the planet!
761684733285638145,Tharealgoodwin,That One Guy,United States,35,394,,Father and husband trying to give my kids a better life. I'm able to do all that I do with the most amazing woman at my side!
65399345,SalomonBeckmann,Mr. Penguin 🚜🌻,"California, USA",150,1208,,Just a 10” penguin finding my way. 和平 “If someone goes down help them up. That’s what we’re here for right? To help each other out” - Tom Araya
151100571,cheriemum,Cherie,"Irvine, CA",1564,3465,,"#MAGA Love God, family & friends, Calvary Chapel, and of course my lil dog, Cherie. I do not respond to Direct Messages."
119899411,mauriciolopezjd,Mauricio Lopez,Southern California,716,3373,,"President @kiwanisfilammetro Empire Builder, Law School Graduate. Managing Member, Westtec Automotive, LLC"
1443997986262970369,Holesinwalls1,Holesinwalls,"Los Angeles, CA",46,279,,Leave Us Alone: We don't want your poison
22520805,530Meliss,Great Ultra MAGA Queen 530Meliss,,1006,1713,,"Life is much nicer without biased MSM readers parroting the script. God wins. Conservative, family values . Decoupled from diet culture and all things NPR."
50022642,FightinTXAg,FightinTXAg,DMV,64,1442,,Protector of Freedom. Defender of Justice. Savior of the feeble.
2438866645,CandyinMaui,Constitutional Candy/ 2000 Mules Movie/Ultra MAGA,United States,1531,1426,,Pro God * Family * Liberty * Constitution * MAGA* Stop the Great Reset* No Illegal Aliens * Pure Blood
1120432249793593345,BiggelsTV,Zach Sullivan,,90,253,,"Motorsport bot account. I share my opinions, and sometimes they’re not terrible."
266563997,chaospoet,ChaosPoet,NYC & NC,101,917,,"Artist, poet, writer"
82180885,nterrache,Naïm Terrache,"Paris, France",97,906,,"🇨🇵“Le caractère, vertu des temps difficiles.” Charles De Gaulle"
88591929,NoLibbyHere,Conservative Bombshell,,586,2043,,It’s easier to fool people than it is to convince them that they have been fooled - M. Twain #Patriot #FJB #MAGAForce #IChooseFreedom #2A #NoVaccineMandates
892295233462992896,Gerfi187,Matt,,123,206,,Paris 🇫🇷🏀 & Finance
48819811,SheriBaby007,TemperedSteel,"California, USA",136,971,,"conservative. , photography, cooking, growing vegetables. 17, #FightlikeFlynn, #PunchlikePowell"
755539726757527553,Caffeinated_Tex,Caffeinated_Tex,"Texas, USA",621,1768,,"Texas Border Issues, Global Politics, and Coffee. Married to @MkjkimK"
1067369281,obm82,Michael O'Brien,United States,88,1116,,"Husband, Father, & avid fan of my kid’s hockey team. Firm supporter of common sense."
380353984,idkyigotthis830,Random Guy 🎮 🏴‍☠️🇺🇸,"Blackwater, West Elizabeth",75,1865,,"Gamer. Proud American. Anti-Socialist, Anti-Communist. Legalize Fracking in all states. Attack Helicopter you bigot! SIN/COS/TAN"
27906586,ashleylempka,ashleylempka,hello brooklyn.,63,296,,"float like a butterfly, sting like a bee."
17743166,KentDenmark,"KentDenmark, MD","Tulsa, OK",30,409,,"Husband, father, publisher, physician, author"
365255653,schenkel_dana,Dana Collis Schenkel,,72,586,,Too busy to tweet.
1344539976,SpringSteps,Mandy ✝,South Carolina AKA RINO LAND,39253,34284,,In Christ. Married.Mama. RN. Prolife. Dogs. 80s 🎶. Hiking County Chair Cruz Campaign '16. MAGA. In the shadows No politician can save you-Follow Christ! Jn 3:3
430925524,chrisbrown_619,Chris Brown,"San Diego, CA",277,705,,Adding a little relief for underpaid and overworked #AthleticTrainers Streamline Processes | Eliminate Paper | Show Your Worth with Data @injureFree
32931266,R1Lover,R1Lover,Northern California,406,973,,"If it can be done, It will!"
920229912,Reed_Nelson,Reed Nelson,"Plano, TX",78,1470,,Baylor University Alum - Realtor - Videographer - Editor
576320373,jeromeChappelle,j.rome,"Texas, USA",1676,4907,,white liberals fuck off | legalize weed | question authority | anti-mandates
127379706,HowellGator,AR2RP4TD,,1258,1650,,"**Loosing** is not a word, it’s spelled Lose/Losing. If you ain’t a Gator, you’re GATOR BAIT! Go Gators! Blocked by @MonicaLewinsky"
1400459342789300228,ALocalAmerican,AnAverageAmerican,Napa Valley of Oysters,483,2417,,"My philosophy and way of life can be summed up with the: Mises Institute, Abbeville Institute, Hoppe, and MarksDailyApple. Always Learning. Always Thinking."
1115231978251407361,BrianDCorbett1,Brian D. Corbett,,18,440,,"Avatar is from 35th fighter squadron. A&P Mechanic, J.D."
1002751856,KeriIPugh,"Keri I. Pugh CFP®, AIF®","Colorado, USA",1264,2196,,"Co-Founder and Wealth Advisor at @FusionFG_CO Securities offered through LPL Financial, Member SIPC https://t.co/R6PQK3mNNN"
1171588343521513472,Joe__Horseface,Horseface Chickenwing,"Calgary, Alberta",144,474,,"I've got a quilt, six thousand yards of extension cord, and a two-room lean-to at an undisclosed location. Whatchu got? ...Bills?"
166313396,Customersfire2,Captain Consumer,"Texas, USA , Happily Married!!",907,2340,,"#Consumer Advocate, getting #deals done right. The Enlightened Won! #WeAreTheRevolution! Potentially the most awake human! #ATX #lufc #mot #commonlaw fan"
2680187119,Englshgrl61,RRRGB 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇺🇸🇬🇧,,1672,2761,,"Born in South Ruislip, England. Dual citizen 🇬🇧 🇺🇲 #NoWEF #MAGA Truth always reveals itself. (Please NO DIRECT MSGS)"
101542989,mjcross12,Matthew Cross,,133,781,,America 1st 🇺🇸
1333689165620383745,Faucisux,𝔩𝔦𝔩 𝔰𝔩𝔲𝔯𝔯𝔦𝔠𝔞𝔫𝔢 🌊,Classified,156,234,,OIF/OEF/Meme War Vet 🇺🇸
1016393451133440001,mattmemes2,Matt memes 🤍💙🤍,Cincinnati,59,1214,,stuttering man | 16 | Homosex | very bad youtuber/artist | history/politics nerd |
1385668589143748610,TokerSolar,SolarToker,"Huntington Beach, CA",1000,2443,,Solar's Gaming 🏖California based🏜 TTV Affiliate 8-2021 https://t.co/V1mJusAnF1 or Google SolarToker for more & @SGamingCommRT is no longer on hiatus.
142291549,FletchAdamo,Fletch,"New York, USA",128,634,,#BoatingLife #BaseballFamily
1141893764279164928,shotsbycla,Lucas Ayres,"Charlotte, NC",170,806,,just here to create stuff. ig: @shotsbycla
1382423840660320261,PPhuquer,GonzoGarBanzai,,433,1920,,morose minstrel of the mundane.
503826837,micmah88,Michael Mahoney,"Delray Beach, FL",283,1513,,I would rather die on my feet than live on my knees. MAGA.
215371662,btcgrant,DEFUND DAVOS! #Bitcoin,NY,1522,3072,,Music Producer | #Bitcoin Maximalist
259847457,thechipburner,Robert Turner,"Los Angeles, CA",2202,4983,,"Creator of Omaha poker, Legends of Poker & Live at the Bike. Columnist at Gaming Today. Senior Poker Hall Of Fame https://t.co/XBUuAErbMp coach & https://t.co/0jjj5h9DHe"
